Crack_id,Young's Modulus (GPa),Poisson's ratio,Tensile strength (MPa),Compressive Strength (MPa),Density (g/cm3),Friction coefficient ,Inclination angle,X,Y,Fracture Growth
1,2.9,0.44,75,139,1.18,0.53,0,1.756063331,4.668874172,0
1,2.9,0.44,75,139,1.18,0.53,0,2.120466208,4.619205298,0
1,2.9,0.44,75,139,1.18,0.53,0,2.451482391,4.652317881,0
1,2.9,0.44,75,139,1.18,0.53,0,2.849107495,4.569536424,0
1,2.9,0.44,75,139,1.18,0.53,0,2.700923205,4.321192053,0
1,2.9,0.44,75,139,1.18,0.53,0,2.254177448,4.238410596,0
1,2.9,0.44,75,139,1.18,0.53,0,1.740384194,4.40397351,0
1,2.9,0.44,75,139,1.18,0.53,0,1.906714618,4.17218543,0
1,2.9,0.44,75,139,1.18,0.53,0,2.40417087,3.940397351,0
1,2.9,0.44,75,139,1.18,0.53,0,2.718795228,3.92384106,0
1,2.9,0.44,75,139,1.18,0.53,0,2.604162098,3.543046358,0
1,2.9,0.44,75,139,1.18,0.53,0,2.17287619,3.791390728,0
1,2.9,0.44,75,139,1.18,0.53,0,1.808473313,3.841059603,0
1,2.9,0.44,75,139,1.18,0.53,0,1.759626771,3.592715232,0
1,2.9,0.44,75,139,1.18,0.53,0,2.174027455,3.443708609,0
1,2.9,0.44,75,139,1.18,0.53,0,1.87678172,3.21192053,0
1,2.9,0.44,75,139,1.18,0.53,0,2.390629797,3.029801325,0
1,2.9,0.44,75,139,1.18,0.53,0,2.05977808,2.947019868,0
1,2.9,0.44,75,139,1.18,0.53,0,1.862253849,2.599337748,0
1,2.9,0.44,75,139,1.18,0.53,0,1.778375948,2.930463576,0
1,2.9,0.44,75,139,1.18,0.53,0,2.25955002,2.61589404,0
1,2.9,0.44,75,139,1.18,0.53,0,2.589634227,2.930463576,0
1,2.9,0.44,75,139,1.18,0.53,0,2.723126179,2.61589404,0
1,2.9,0.44,75,139,1.18,0.53,0,2.439366694,3.311258278,0
1,2.9,0.44,75,139,1.18,0.53,0,2.524998904,2.450331126,0
1,2.9,0.44,75,139,1.18,0.53,0,1.995855445,2.251655629,0
1,2.9,0.44,75,139,1.18,0.53,0,2.227753169,2.218543046,0
1,2.9,0.44,75,139,1.18,0.53,0,2.658436034,2.152317881,0
1,2.9,0.44,75,139,1.18,0.53,0,1.897394851,1.986754967,0
1,2.9,0.44,75,139,1.18,0.53,0,2.394028771,2.003311258,0
1,2.9,0.44,75,139,1.18,0.53,0,2.78721328,3.261589404,0
1,2.9,0.44,75,139,1.18,0.53,0,2.827836498,5.993377483,0
1,2.9,0.44,75,139,1.18,0.53,0,3.31613745,3.526490066,0
1,2.9,0.44,75,139,1.18,0.53,0,3.317617648,3.079470199,0
1,2.9,0.44,75,139,1.18,0.53,0,3.318988202,2.665562914,0
1,2.9,0.44,75,139,1.18,0.53,0,3.320249112,2.284768212,0
1,2.9,0.44,75,139,1.18,0.53,0,3.304569975,2.01986755,0
